[[11, 12, 239], [12, 62, 250], [13, 8, 326], [14, 72, 334], [15, 35, 388], [16, 86, 412], [23, 13, 398], [24, 52, 399], [25, 17, 501], [26, 91, 481], [27, 35, 593], [28, 79, 580], [29, 25, 616], [30, 65, 598], [31, 70, 606], [32, 123, 596]]
[[11, 12, 238], [12, 64, 249], [13, 8, 327], [14, 72, 334], [15, 35, 390], [16, 86, 413], [23, 13, 398], [24, 53, 399], [25, 22, 500], [26, 91, 481], [27, 31, 596], [28, 92, 577], [29, 24, 618], [30, 82, 597], [31, 59, 602], [32, 134, 588]]
[[11, 24, 239], [12, 75, 251], [13, 22, 325], [14, 77, 337], [15, 46, 394], [16, 89, 413], [23, 30, 401], [24, 69, 404], [25, 30, 500], [26, 93, 482], [27, 31, 596], [28, 117, 565], [29, 24, 615], [30, 114, 586], [31, 57, 598], [32, 158, 565]]
[[11, 39, 240], [12, 89, 256], [13, 43, 327], [14, 93, 342], [15, 68, 392], [16, 102, 416], [23, 48, 404], [24, 87, 408], [25, 41, 498], [26, 102, 483], [27, 31, 594], [28, 121, 564], [29, 24, 614], [30, 119, 583], [31, 58, 599], [32, 154, 568]]
[[11, 48, 244], [12, 101, 258], [13, 48, 326], [14, 106, 346], [15, 74, 392], [16, 113, 418], [23, 59, 406], [24, 96, 410], [25, 51, 493], [26, 104, 488], [27, 31, 587], [28, 122, 565], [29, 24, 603], [30, 110, 588], [31, 55, 598], [32, 153, 573]]
[[11, 66, 244], [12, 115, 257], [13, 59, 320], [14, 121, 342], [15, 75, 381], [16, 129, 414], [23, 76, 405], [24, 111, 408], [25, 73, 480], [26, 120, 486], [27, 37, 563], [28, 124, 566], [29, 23, 571], [30, 115, 587], [31, 56, 594], [32, 160, 574]]
[[11, 72, 244], [12, 122, 257], [13, 58, 318], [14, 125, 342], [15, 75, 374], [16, 136, 411], [23, 86, 403], [24, 120, 407], [25, 85, 475], [26, 124, 483], [27, 48, 549], [28, 124, 565], [29, 29, 555], [30, 115, 583], [31, 56, 587], [32, 164, 576]]
[[11, 89, 243], [12, 132, 256], [13, 79, 315], [14, 139, 338], [15, 102, 371], [16, 158, 399], [23, 105, 399], [24, 131, 405], [25, 109, 466], [26, 137, 483], [27, 69, 530], [28, 125, 566], [29, 47, 540], [30, 115, 585], [31, 82, 570], [32, 166, 577]]
[[11, 97, 243], [12, 138, 254], [13, 87, 313], [14, 147, 332], [15, 111, 365], [16, 167, 393], [23, 112, 396], [24, 138, 404], [25, 121, 461], [26, 141, 476], [27, 86, 529], [28, 127, 561], [29, 70, 543], [30, 118, 581], [31, 103, 560], [32, 162, 574]]
[[11, 112, 243], [12, 142, 248], [13, 102, 315], [14, 151, 326], [15, 124, 368], [16, 183, 384], [23, 126, 391], [24, 141, 395], [25, 138, 465], [26, 138, 474], [27, 123, 543], [28, 123, 560], [29, 113, 558], [30, 114, 578], [31, 158, 565], [32, 160, 575]]
[[11, 122, 243], [12, 147, 248], [13, 116, 314], [14, 154, 325], [15, 151, 368], [16, 189, 381], [23, 136, 391], [24, 144, 394], [25, 141, 465], [26, 140, 474], [27, 130, 538], [28, 124, 557], [29, 117, 555], [30, 114, 573], [31, 166, 551], [32, 162, 568]]
[[11, 138, 243], [12, 152, 247], [13, 118, 315], [14, 157, 323], [15, 135, 368], [16, 192, 379], [23, 150, 388], [24, 151, 390], [25, 158, 465], [26, 144, 475], [27, 162, 535], [28, 126, 559], [29, 153, 551], [30, 119, 574], [31, 203, 543], [32, 160, 574]]
[[11, 157, 246], [12, 156, 247], [13, 153, 316], [14, 160, 323], [15, 171, 369], [16, 193, 380], [23, 163, 389], [24, 157, 391], [25, 167, 466], [26, 154, 475], [27, 184, 534], [28, 127, 559], [29, 178, 551], [30, 117, 575], [31, 227, 542], [32, 160, 577]]
[[11, 163, 248], [12, 157, 249], [13, 159, 319], [14, 163, 324], [15, 175, 369], [16, 193, 383], [23, 167, 389], [24, 163, 391], [25, 167, 467], [26, 165, 476], [27, 181, 536], [28, 131, 556], [29, 176, 551], [30, 116, 573], [31, 228, 545], [32, 160, 577]]
[[11, 173, 248], [12, 167, 250], [13, 173, 319], [14, 169, 324], [15, 179, 371], [16, 190, 386], [23, 181, 387], [24, 170, 388], [25, 186, 466], [26, 178, 474], [27, 184, 536], [28, 138, 547], [29, 178, 551], [30, 118, 559], [31, 228, 548], [32, 163, 576]]
[[11, 175, 248], [12, 173, 250], [13, 166, 318], [14, 172, 323], [15, 171, 372], [16, 188, 387], [23, 182, 383], [24, 174, 384], [25, 191, 462], [26, 183, 470], [27, 183, 532], [28, 144, 540], [29, 179, 547], [30, 123, 548], [31, 225, 549], [32, 167, 573]]
[[11, 202, 250], [12, 175, 249], [13, 200, 317], [14, 165, 319], [15, 221, 367], [16, 180, 386], [23, 196, 379], [24, 176, 382], [25, 200, 458], [26, 191, 466], [27, 182, 526], [28, 166, 539], [29, 172, 538], [30, 152, 549], [31, 220, 547], [32, 192, 565]]
[[11, 206, 252], [12, 178, 249], [13, 208, 317], [14, 165, 320], [15, 237, 363], [16, 171, 388], [23, 197, 379], [24, 178, 382], [25, 202, 455], [26, 194, 463], [27, 185, 524], [28, 176, 538], [29, 174, 535], [30, 164, 548], [31, 220, 548], [32, 206, 563]]
[[11, 217, 254], [12, 180, 249], [13, 230, 315], [14, 167, 321], [15, 262, 355], [16, 167, 388], [23, 201, 380], [24, 183, 382], [25, 196, 455], [26, 201, 462], [27, 186, 525], [28, 194, 540], [29, 175, 538], [30, 185, 553], [31, 220, 546], [32, 227, 560]]
